tinyId	domain	domain_full	sub_domain	verbosity	expected_cluster	name
synCRD001	cardiovascular	Cardiovascular Assessment	Cardiac Parameters	terse	cardiovascular	Resting heart rate
synCRD002	cardiovascular	Cardiovascular Assessment	Hemodynamics	terse	xdh:blood_pressure	Systolic blood pressure
synCRD003	cardiovascular	Cardiovascular Assessment	Hemodynamics	terse	cardiovascular	Diastolic blood pressure
synCRD004	cardiovascular	Cardiovascular Assessment	Hemodynamics	terse	cardiovascular	Mean arterial pressure
synCRD005	cardiovascular	Cardiovascular Assessment	Cardiac Parameters	terse	cardiovascular	Cardiac output
synCRD006	cardiovascular	Cardiovascular Assessment	Cardiac Parameters	terse	cardiovascular	Left ventricular ejection fraction
synCRD007	cardiovascular	Cardiovascular Assessment	Electrophysiology	terse	cardiovascular	QT interval duration
synCRD008	cardiovascular	Cardiovascular Assessment	Biomarkers	terse	xdh:lab_values	Troponin I concentration
synCRD009	cardiovascular	Cardiovascular Assessment	Biomarkers	terse	cardiovascular	B-type natriuretic peptide level
synCRD010	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	Total cholesterol
synCRD011	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	LDL cholesterol
synCRD012	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	HDL cholesterol
synCRD013	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	Triglyceride level
synCRD014	cardiovascular	Cardiovascular Assessment	Biomarkers	terse	cardiovascular	C-reactive protein
synCRD015	cardiovascular	Cardiovascular Assessment	Vascular Imaging	terse	xdh:imaging	Carotid intima-media thickness
synCRD016	cardiovascular	Cardiovascular Assessment	Electrophysiology	terse	cardiovascular	Heart rate variability
synCRD017	cardiovascular	Cardiovascular Assessment	Anthropometry	terse	xdh:bmi	Body mass index at cardiac assessment
synCRD018	cardiovascular	Cardiovascular Assessment	Medication	terse	xdh:medication	Cardiac medication adherence
synCRD019	cardiovascular	Cardiovascular Assessment	Demographics	terse	xdh:demographics	Age at cardiovascular screening
