tinyId	domain	domain_full	sub_domain	verbosity	expected_cluster	name	noise_tier	instrument	temporal_phrase	anchor_phrase	source_tinyId
synCRD001_t1	cardiovascular	Cardiovascular Assessment	Cardiac Parameters	terse	cardiovascular	Resting heart rate	light		Over the past 30 days		synCRD001
synCRD002_t1	cardiovascular	Cardiovascular Assessment	Hemodynamics	terse	xdh:blood_pressure	Systolic blood pressure	light		Over the past 30 days		synCRD002
synCRD003_t1	cardiovascular	Cardiovascular Assessment	Hemodynamics	terse	cardiovascular	Diastolic blood pressure	light		Over the past 30 days		synCRD003
synCRD004_t1	cardiovascular	Cardiovascular Assessment	Hemodynamics	terse	cardiovascular	Mean arterial pressure	light		Over the past 30 days		synCRD004
synCRD005_t1	cardiovascular	Cardiovascular Assessment	Cardiac Parameters	terse	cardiovascular	Cardiac output	light		Over the past 30 days		synCRD005
synCRD006_t1	cardiovascular	Cardiovascular Assessment	Cardiac Parameters	terse	cardiovascular	Left ventricular ejection fraction	light		Over the past 30 days		synCRD006
synCRD007_t1	cardiovascular	Cardiovascular Assessment	Electrophysiology	terse	cardiovascular	QT interval duration	light		Over the past 30 days		synCRD007
synCRD008_t1	cardiovascular	Cardiovascular Assessment	Biomarkers	terse	xdh:lab_values	Troponin I concentration	light		Over the past 30 days		synCRD008
synCRD009_t1	cardiovascular	Cardiovascular Assessment	Biomarkers	terse	cardiovascular	B-type natriuretic peptide level	light		Over the past 30 days		synCRD009
synCRD010_t1	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	Total cholesterol	light		Over the past 30 days		synCRD010
synCRD011_t1	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	LDL cholesterol	light		Over the past 30 days		synCRD011
synCRD012_t1	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	HDL cholesterol	light		Over the past 30 days		synCRD012
synCRD013_t1	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	Triglyceride level	light		Over the past 30 days		synCRD013
synCRD014_t1	cardiovascular	Cardiovascular Assessment	Biomarkers	terse	cardiovascular	C-reactive protein	light		Over the past 30 days		synCRD014
synCRD015_t1	cardiovascular	Cardiovascular Assessment	Vascular Imaging	terse	xdh:imaging	Carotid intima-media thickness	light		Over the past 30 days		synCRD015
synCRD016_t1	cardiovascular	Cardiovascular Assessment	Electrophysiology	terse	cardiovascular	Heart rate variability	light		Over the past 30 days		synCRD016
synCRD017_t1	cardiovascular	Cardiovascular Assessment	Anthropometry	terse	xdh:bmi	Body mass index at cardiac assessment	light		Over the past 30 days		synCRD017
synCRD018_t1	cardiovascular	Cardiovascular Assessment	Medication	terse	xdh:medication	Cardiac medication adherence	light		Over the past 30 days		synCRD018
synCRD019_t1	cardiovascular	Cardiovascular Assessment	Demographics	terse	xdh:demographics	Age at cardiovascular screening	light		Over the past 30 days		synCRD019
synCRD020_t1	cardiovascular	Cardiovascular Assessment	Treatment	terse	xdh:treatment_response	Cardiac treatment response score	light		Over the past 30 days		synCRD020
synRSP001_t1	respiratory	Respiratory Function Evaluation	Spirometry	informational	respiratory	Forced expiratory volume in one second	light		Over the past 30 days		synRSP001
synRSP002_t1	respiratory	Respiratory Function Evaluation	Spirometry	informational	respiratory	Forced vital capacity	light		Over the past 30 days		synRSP002
synRSP003_t1	respiratory	Respiratory Function Evaluation	Spirometry	informational	respiratory	FEV1 to FVC ratio	light		Over the past 30 days		synRSP003
synRSP004_t1	respiratory	Respiratory Function Evaluation	Spirometry	informational	respiratory	Peak expiratory flow rate	light		Over the past 30 days		synRSP004
synRSP005_t1	respiratory	Respiratory Function Evaluation	Oxygenation	informational	respiratory	Oxygen saturation by pulse oximetry	light		Over the past 30 days		synRSP005
synRSP006_t1	respiratory	Respiratory Function Evaluation	Ventilation	informational	respiratory	Respiratory rate	light		Over the past 30 days		synRSP006
synRSP007_t1	respiratory	Respiratory Function Evaluation	Gas Exchange	informational	respiratory	Arterial partial pressure of oxygen	light		Over the past 30 days		synRSP007
synRSP008_t1	respiratory	Respiratory Function Evaluation	Gas Exchange	informational	xdh:lab_values	Arterial partial pressure of carbon dioxide	light		Over the past 30 days		synRSP008
synRSP009_t1	respiratory	Respiratory Function Evaluation	Exercise Capacity	informational	respiratory	Six-minute walk distance	light		Over the past 30 days		synRSP009
synRSP010_t1	respiratory	Respiratory Function Evaluation	Gas Exchange	informational	respiratory	Diffusing capacity for carbon monoxide	light		Over the past 30 days		synRSP010
synRSP011_t1	respiratory	Respiratory Function Evaluation	Ventilation	informational	respiratory	Tidal volume	light		Over the past 30 days		synRSP011
synRSP012_t1	respiratory	Respiratory Function Evaluation	Spirometry	informational	respiratory	Bronchodilator response	light		Over the past 30 days		synRSP012
synRSP013_t1	respiratory	Respiratory Function Evaluation	Symptoms	informational	respiratory	Dyspnea severity score	light		Over the past 30 days		synRSP013
synRSP014_t1	respiratory	Respiratory Function Evaluation	Biomarkers	informational	respiratory	Exhaled nitric oxide concentration	light		Over the past 30 days		synRSP014
synRSP015_t1	respiratory	Respiratory Function Evaluation	Imaging	informational	xdh:imaging	Chest radiograph classification	light		Over the past 30 days		synRSP015
synRSP016_t1	respiratory	Respiratory Function Evaluation	Hemodynamics	informational	xdh:blood_pressure	Blood pressure at pulmonary function visit	light		Over the past 30 days		synRSP016
synRSP017_t1	respiratory	Respiratory Function Evaluation	Anthropometry	informational	xdh:bmi	Body mass index at respiratory assessment	light		Over the past 30 days		synRSP017
synRSP018_t1	respiratory	Respiratory Function Evaluation	Medication	informational	xdh:medication	Respiratory medication adherence	light		Over the past 30 days		synRSP018
synRSP019_t1	respiratory	Respiratory Function Evaluation	Demographics	informational	xdh:demographics	Age at pulmonary function evaluation	light		Over the past 30 days		synRSP019
synRSP020_t1	respiratory	Respiratory Function Evaluation	Treatment	informational	xdh:treatment_response	Pulmonary treatment response rating	light		Over the past 30 days		synRSP020
synMET001_t1	metabolic	Metabolic Health Monitoring	Glycemic	expansive	metabolic	Fasting blood glucose concentration	light		Over the past 30 days		synMET001
synMET002_t1	metabolic	Metabolic Health Monitoring	Glycemic	expansive	metabolic	Hemoglobin A1c percentage	light		Over the past 30 days		synMET002
synMET003_t1	metabolic	Metabolic Health Monitoring	Glycemic	expansive	metabolic	Fasting insulin level	light		Over the past 30 days		synMET003
synMET004_t1	metabolic	Metabolic Health Monitoring	Glycemic	expansive	metabolic	HOMA-IR insulin resistance index	light		Over the past 30 days		synMET004
synMET005_t1	metabolic	Metabolic Health Monitoring	Anthropometry	expansive	metabolic	Waist circumference measurement	light		Over the past 30 days		synMET005
synMET006_t1	metabolic	Metabolic Health Monitoring	Anthropometry	expansive	metabolic	Body fat percentage by bioimpedance	light		Over the past 30 days		synMET006
synMET007_t1	metabolic	Metabolic Health Monitoring	Lipid Panel	expansive	metabolic	Total cholesterol in metabolic panel	light		Over the past 30 days		synMET007
synMET008_t1	metabolic	Metabolic Health Monitoring	Lipid Panel	expansive	xdh:lab_values	Triglyceride concentration in metabolic panel	light		Over the past 30 days		synMET008
synMET009_t1	metabolic	Metabolic Health Monitoring	Renal/Metabolic	expansive	metabolic	Uric acid level	light		Over the past 30 days		synMET009
synMET010_t1	metabolic	Metabolic Health Monitoring	Hepatic	expansive	metabolic	Alanine aminotransferase activity	light		Over the past 30 days		synMET010
synMET011_t1	metabolic	Metabolic Health Monitoring	Hepatic	expansive	metabolic	Aspartate aminotransferase activity	light		Over the past 30 days		synMET011
synMET012_t1	metabolic	Metabolic Health Monitoring	Renal/Metabolic	expansive	metabolic	Serum creatinine concentration	light		Over the past 30 days		synMET012
synMET013_t1	metabolic	Metabolic Health Monitoring	Renal/Metabolic	expansive	metabolic	Estimated glomerular filtration rate	light		Over the past 30 days		synMET013
synMET014_t1	metabolic	Metabolic Health Monitoring	Endocrine	expansive	metabolic	Thyroid-stimulating hormone level	light		Over the past 30 days		synMET014
synMET015_t1	metabolic	Metabolic Health Monitoring	Imaging	expansive	xdh:imaging	Abdominal ultrasound for hepatic steatosis	light		Over the past 30 days		synMET015
synMET016_t1	metabolic	Metabolic Health Monitoring	Hemodynamics	expansive	xdh:blood_pressure	Blood pressure at metabolic screening visit	light		Over the past 30 days		synMET016
synMET017_t1	metabolic	Metabolic Health Monitoring	Anthropometry	expansive	xdh:bmi	Body mass index at metabolic assessment	light		Over the past 30 days		synMET017
synMET018_t1	metabolic	Metabolic Health Monitoring	Medication	expansive	xdh:medication	Metabolic medication adherence	light		Over the past 30 days		synMET018
synMET019_t1	metabolic	Metabolic Health Monitoring	Demographics	expansive	xdh:demographics	Age at metabolic health screening	light		Over the past 30 days		synMET019
synMET020_t1	metabolic	Metabolic Health Monitoring	Treatment	expansive	xdh:treatment_response	Metabolic treatment response score	light		Over the past 30 days		synMET020
synCRD001_t2	cardiovascular	Cardiovascular Assessment	Cardiac Parameters	terse	cardiovascular	Resting heart rate	medium	CMP Cardiac Assessment			synCRD001
synCRD002_t2	cardiovascular	Cardiovascular Assessment	Hemodynamics	terse	xdh:blood_pressure	Systolic blood pressure	medium	CMP Cardiac Assessment			synCRD002
synCRD003_t2	cardiovascular	Cardiovascular Assessment	Hemodynamics	terse	cardiovascular	Diastolic blood pressure	medium	CMP Cardiac Assessment			synCRD003
synCRD004_t2	cardiovascular	Cardiovascular Assessment	Hemodynamics	terse	cardiovascular	Mean arterial pressure	medium	CMP Cardiac Assessment			synCRD004
synCRD005_t2	cardiovascular	Cardiovascular Assessment	Cardiac Parameters	terse	cardiovascular	Cardiac output	medium	CMP Cardiac Assessment			synCRD005
synCRD006_t2	cardiovascular	Cardiovascular Assessment	Cardiac Parameters	terse	cardiovascular	Left ventricular ejection fraction	medium	CMP Cardiac Assessment			synCRD006
synCRD007_t2	cardiovascular	Cardiovascular Assessment	Electrophysiology	terse	cardiovascular	QT interval duration	medium	CMP Cardiac Assessment			synCRD007
synCRD008_t2	cardiovascular	Cardiovascular Assessment	Biomarkers	terse	xdh:lab_values	Troponin I concentration	medium	CMP Cardiac Assessment			synCRD008
synCRD009_t2	cardiovascular	Cardiovascular Assessment	Biomarkers	terse	cardiovascular	B-type natriuretic peptide level	medium	CMP Cardiac Assessment			synCRD009
synCRD010_t2	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	Total cholesterol	medium	CMP Cardiac Assessment			synCRD010
synCRD011_t2	cardiovascular	Cardiovascular Assessment	Lipid Panel	terse	cardiovascular	LDL cholesterol	medium	CMP Cardiac Assessment			synCRD011
