lemma	variants	count
0	0	1
100	100	1
105	105	1
7	7	1
a	A|a	2
ability	Ability|ability	2
above	above	1
absorption	absorption	1
abundance	abundance	1
accelerated	accelerated	1
accessible	accessible	1
accumulation	accumulation	1
accuracy	accuracy	1
accurate	Accurate	1
acetate	acetate	1
acid	acid	1
acidic	acidic	1
acidity	Acidity	1
across	across	1
action	action	1
activity	activity	1
add	adding	1
adsorb	adsorbed|adsorbing	2
aeration	aeration	1
aerobic	aerobic	1
affect	affects	1
after	after	1
aggregate	Aggregate|aggregates	2
agitation	agitation	1
agricultural	agricultural	1
air	Air|air	2
airborne	Airborne	1
algal	algal	1
alkaline	alkaline	1
alkalinity	alkalinity	1
all	all	1
allowable	allowable	1
alone	alone	1
alongside	alongside	1
ambient	Ambient|ambient	2
ammonium	ammonium	1
amount	Amount|amount	2
an	An|an	2
analysis	analysis	1
analyze	analyzing	1
and	and	1
animal	animal	1
annual	annual	1
anthropogenic	anthropogenic	1
applicable	applicable	1
aqi	AQI	1
aquatic	aquatic	1
aqueous	aqueous	1
as	as	1
assess	assess|assessed	2
assessment	assessment	1
assign	assigns	1
associate	associated	1
at	at	1
atmospheric	Atmospheric|atmospheric	2
atomic	atomic	1
authority	authority	1
availability	availability	1
available	available	1
background	background	1
bacteria	bacteria	1
balance	balance	1
barometric	Barometric	1
base	based	1
be	are|be|is|was	4
below	below	1
benzene	Benzene|benzene	2
between	between	1
bioaccumulates	bioaccumulates	1
bioavailability	bioavailability	1
biochemical	Biochemical|biochemical	2
biological	biological	1
biomass	biomass	1
bloom	blooms	1
body	body	1
both	both	1
bound	bound	1
bray	Bray	1
broad	broader	1
bulk	Bulk|bulk	2
by	by	1
cadmium	Cadmium|cadmium	2
calcium	calcium	1
calculate	calculated	1
calibrated	calibrated	1
can	can	1
capacity	capacity	1
capture	captures	1
carbon	Carbon|carbon	2
carcinogenic	carcinogenic	1
categorization	Categorization	1
cation	Cation|cation|cations	3
celsius	Celsius	1
centimeter	centimeter|centimeters	2
centimoles	centimoles	1
change	change	1
charge	charge|charged	2
chemical	Chemical|chemical	2
chemically	chemically	1
chemistry	chemistry	1
chloroform	chloroform	1
clarity	Clarity|clarity	2
class	class|classes	2
classification	classification	1
classify	classifying	1
clay	clay	1
co	CO	1
coarse	coarse	1
coli	coli	1
coliform	coliform	1
collect	collect|collected	2
collected	collected	1
collection	collection	1
colloid	colloid	1
colony	colonies	1
column	column	1
combine	Combined	1
combined	Combined|combined	2
combustion	combustion	1
community	community	1
compaction	compaction	1
compare	comparing	1
comparison	comparison	1
complete	complete	1
composite	Composite|composite	2
composition	composition	1
compound	compounds	1
concentrated	concentrated	1
concentration	Concentration|concentration|concentrations	3
condition	conditions	1
conduct	conduct	1
conductivity	conductivity	1
consecutive	consecutive	1
consider	considered	1
consistent	consistent	1
constant	constant	1
consume	consumed	1
contact	contact	1
contain	contained	1
contaminant	contaminant	1
contamination	contamination	1
content	content	1
continuity	continuity	1
contributes	contributes	1
contribution	contribution	1
convert	converted	1
coordinate	Coordinates|coordinates	2
core	core	1
correspond	corresponds	1
count	count	1
couple	coupled	1
cover	cover	1
criterion	criterion	1
crop	crop|crops	2
cubic	cubic	1
current	current	1
cycle	cycle|cycles	2
cycling	cycling	1
cylindrical	cylindrical	1
data	data	1
day	Days|day|days	3
dead	dead	1
decimal	decimal	1
decisiemens	decisiemens	1
decision	decisions	1
decline	declines	1
decomposability	decomposability	1
decompose	decompose|decomposing	2
decomposed	decomposed	1
decomposition	decomposition	1
define	defined	1
degree	degree|degrees	2
deionized	deionized	1
demand	demand	1
density	density	1
depth	Depth|depth|depths	3
designated	designated	1
detect	detected	1
determinant	determinant	1
determine	determined	1
device	device	1
difference	difference	1
digest	digest|digesting	2
digestion	digestion	1
dioxide	dioxide	1
direct	direct	1
directional	Directional	1
disintegration	disintegration	1
dispersion	dispersion	1
displace	displaced|displacing	2
disruptive	disruptive	1
dissolve	Dissolved|dissolved	2
dissolved	Dissolved|dissolved	2
distance	distance	1
distribution	distribution	1
divide	dividing	1
drainage	drainage	1
dried	dried	1
dry	dried|dry|drying	3
due	due	1
during	during	1
dust	dust	1
dynamic	dynamics	1
ecosystem	ecosystem|ecosystems	2
effect	effects	1
effectiveness	effectiveness	1
electric	electric	1
electrical	Electrical|electrical	2
electrode	electrode	1
element	elements	1
elevate	Elevated	1
emission	emission|emissions	2
empirical	empirical	1
employ	employed	1
enable	enable	1
encompass	encompasses	1
enumeration	enumeration	1
environmental	environmental	1
equivalent	equivalent	1
erosion	erosion	1
escherichia	Escherichia	1
essential	essential	1
establish	established	1
estimate	estimate|estimated	2
eutrophication	eutrophication	1
exact	exact	1
exceed	exceeded|exceeding|exceeds	3
exceedance	Exceedance|exceedance	2
excessive	Excessive	1
exchange	exchange	1
exchangeable	Exchangeable	1
express	expressed|expressing	2
extend	extending	1
extract	extract|extracted|extracting	3
extractable	extractable	1
extraction	extraction	1
exudate	exudates	1
factor	factor	1
fecal	fecal	1
fertility	fertility	1
fertilizer	fertilizer|fertilizers	2
fifteen	fifteen	1
filter	filter|filtering	2
filtered	filtered	1
filtrate	filtrate	1
fine	fine	1
flame	flame	1
follow	followed|following	2
food	food	1
for	for	1
force	forces	1
form	formed|forms	2
fraction	fraction|fractions	2
frequency	frequency	1
fresh	fresh	1
from	from	1
fumigate	fumigated	1
fumigation	fumigation	1
further	further	1
gas	gas	1
general	general	1
generally	generally	1
geochemical	geochemical	1
geographic	Geographic|geographic	2
georeferenced	Georeferenced	1
geostatistical	geostatistical	1
germination	germination	1
glass	glass	1
glistening	glistening	1
global	global	1
govern	governing|governs	2
grab	grab	1
gradient	gradients	1
gram	grams	1
gravimetric	Gravimetric	1
great	greater	1
ground	ground	1
growing	growing	1
growth	growth	1
guide	guides	1
health	health	1
heavy	heavy	1
height	height	1
higher	Higher	1
hold	held	1
homogenize	homogenized	1
horizon	horizon|horizons	2
horizontal	Horizontal	1
human	human	1
humic	humic	1
humidity	Humidity|humidity	2
humus	humus	1
hydrogen	hydrogen	1
hydrometer	hydrometer	1
immobilization	immobilization	1
in	in	1
include	Includes|include|including	3
incorporate	incorporated	1
incubation	incubation	1
index	Index|index	2
indicate	indicate|indicates|indicating	3
indicator	indicator	1
inductively	inductively	1
industrial	industrial	1
infiltration	infiltration	1
influence	influence|influences	2
inhalation	inhalation	1
initial	initial	1
inorganic	inorganic	1
input	inputs	1
insert	inserted	1
insight	insight	1
instrumental	instrumental	1
intact	intact	1
integrate	integrates	1
integration	integration	1
interest	interest	1
interpolation	interpolation	1
interpret	interpreting	1
interval	interval	1
into	into	1
investigation	investigation	1
ion	ion|ions	2
ionic	ionic	1
irrigation	irrigation	1
it	it	1
its	its	1
jurisdiction	jurisdiction	1
key	key	1
kilogram	kilogram	1
kjeldahl	Kjeldahl	1
known	known	1
land	land	1
landscape	landscape	1
latitude	Latitude|latitude	2
leaching	leaching	1
lead	Lead|lead	2
leaf	leaf	1
level	level|levels	2
light	light	1
limit	limit|limits	2
liter	liter	1
litter	litter	1
living	living	1
load	load	1
location	location|locations	2
logarithmic	logarithmic	1
longitude	longitude	1
lose	lost	1
loss	losses	1
low	low	1
magnesium	magnesium	1
main	main	1
maintain	maintain	1
make	making	1
management	management	1
many	many	1
mapping	mapping	1
mass	Mass|mass	2
material	material	1
matrix	matrix	1
matter	matter	1
maximum	Maximum|maximum	2
may	may	1
measure	Measured|measure|measured|measuring	4
measured	measured	1
measurement	Measurement|measurement	2
mechanical	mechanical	1
mercury	Mercury|mercury	2
metabolic	metabolic	1
metal	metal|metals	2
meter	meter	1
method	method|methods	2
microbial	Microbial|microbial	2
microgram	micrograms	1
microorganism	microorganisms	1
midpoint	midpoint	1
milligram	milligrams	1
milliliter	milliliters	1
mineral	mineral|minerals	2
mineralization	mineralization	1
mineralogy	mineralogy	1
mixture	mixture	1
moisture	Moisture|moisture	2
molecular	molecular	1
moment	moment	1
monitoring	monitoring	1
monoxide	monoxide	1
more	more	1
most	most	1
nanogram	nanograms	1
natural	natural	1
necessitate	necessitate	1
negative	negative	1
nephelometric	nephelometric	1
net	net	1
network	networks	1
neurotoxic	neurotoxic	1
nitrate	Nitrate|nitrate	2
nitrogen	Nitrogen|nitrogen	2
no2	NO2	1
number	Number|number	2
nutrient	nutrient	1
object	objects	1
obtain	obtain|obtained	2
of	of	1
often	often	1
olsen	Olsen	1
on	on	1
one	one	1
onto	onto	1
optical	Optical|optical	2
or	or	1
organic	Organic|organic|organics	3
organism	organism	1
orthophosphate	orthophosphate	1
osmotic	osmotic	1
other	other	1
over	over	1
overall	overall	1
oxidation	oxidation	1
oxidizable	oxidizable	1
oxidize	oxidize	1
oxygen	Oxygen|oxygen	2
ozone	Ozone|ozone	2
pair	paired	1
parameter	parameter|parameters	2
part	part|parts	2
particle	Particle|particle|particles	3
particulate	particulate	1
pass	pass	1
paste	paste	1
pattern	Pattern|pattern	2
peak	peaks	1
penetration	penetration	1
per	per	1
percentage	percentage	1
perform	performed	1
period	period|periods	2
persistent	persistent	1
ph	pH	1
phosphate	Phosphate|phosphate	2
phosphorus	Phosphorus|phosphorus	2
photometry	photometry	1
photosynthetic	Photosynthetic	1
physical	physical	1
phytoplankton	phytoplankton	1
pigment	pigment	1
plant	plant|plants	2
plasma	plasma	1
plot	plotted	1
plus	plus	1
pm10	PM10	1
point	point	1
pollutant	pollutant	1
pollution	pollution	1
pore	pore	1
pose	poses	1
position	position	1
positional	Positional	1
positioning	positioning	1
positively	positively	1
potassium	potassium	1
potential	potential	1
potentially	potentially	1
practical	practical	1
practice	practices	1
precipitation	precipitation	1
prepare	prepared	1
present	present	1
pressure	pressure	1
primary	primary	1
probe	probe	1
procedure	procedure|procedures	2
process	processes	1
productivity	productivity	1
profile	profile	1
promotes	promotes	1
property	properties|property	2
proportion	Proportion|proportion|proportions	3
protect	protect	1
provide	provides	1
quality	Quality|quality	2
quantification	quantification	1
quantify	Quantifying|quantifies|quantifying	3
quantity	quantity	1
rainwater	Rainwater	1
range	range|ranges	2
rapid	rapid	1
rate	rates	1
ratio	Ratio|ratio	2
reaction	reaction	1
readily	readily	1
reading	reading	1
receiver	receiver	1
recent	recent	1
record	recorded|recording	2
recording	recording	1
recur	recurring	1
refers	refers	1
reflect	reflecting|reflects	2
regime	regime	1
regulated	regulated	1
regulation	regulations	1
regulatory	Regulatory|regulatory	2
relative	Relative|relative	2
remain	remains	1
remedial	remedial	1
remediation	remediation	1
remote	remote	1
removal	removal	1
repeated	repeated	1
report	Reported|reported|reporting	3
represent	represents	1
representative	representative	1
require	required|requires	2
requirement	requirements	1
reservoir	reservoir	1
residue	residues	1
resist	resist	1
resistance	Resistance	1
respiration	respiration	1
restrict	restricts	1
result	result	1
retain	retain	1
retention	retention	1
risk	risk|risks	2
root	root|roots	2
runoff	runoff	1
saline	saline	1
salinity	Salinity|salinity	2
salt	Salt|salt|salts	3
salts	salts	1
same	same	1
sample	Sampling|sample|samples|sampling	4
sampling	sampling	1
sand	sand	1
sanitary	sanitary	1
saturate	saturating	1
saturation	saturation	1
scale	scale	1
scatter	scattered|scattering	2
score	score	1
screen	screening	1
screening	screening	1
season	season|seasons	2
seasonal	Seasonal|seasonal	2
sediment	sediment	1
seed	seed	1
sense	sensing	1
sensor	sensor	1
serf	serves	1
serve	serves	1
set	set	1
sewage	sewage	1
should	should	1
sieve	sieve|sieves	2
silt	silt	1
site	site|sites	2
size	size	1
sludge	sludge	1
so2	SO2	1
sodium	sodium	1
soil	Soil|soil|soils	3
solid	solids	1
solubility	solubility	1
soluble	soluble	1
solution	solution	1
space	space	1
spatial	spatial	1
specie	species	1
specific	specific	1
specify	specified	1
spectrometry	spectrometry	1
spectroscopy	spectroscopy	1
speed	speed	1
stability	stability	1
stabilizes	stabilizes	1
stable	Stable|stable	2
stack	stack	1
standard	Standard|standard	2
standardized	standardized	1
state	state	1
station	Station|station	2
status	status	1
stress	stress	1
strongly	strongly	1
structure	structure	1
subject	subject|subjected	2
subsamples	subsamples	1
substance	substances	1
subsurface	subsurface	1
such	such	1
suggest	suggests	1
suitability	suitability	1
sulfate	sulfate	1
sulfur	Sulfur	1
sum	Sum|sum	2
summarize	summarizing	1
supply	supplying	1
surface	surface|surfaces	2
suspend	suspending	1
suspended	suspended	1
suspension	suspension	1
system	system|systems	2
take	taken	1
target	target	1
technique	Technique	1
temperature	Temperature|temperature	2
terrestrial	terrestrial	1
textural	textural	1
texture	Texture|texture	2
than	than	1
that	that	1
the	The|the	2
then	then	1
thermal	thermal	1
thermistor	thermistor	1
thermocouple	thermocouple	1
thirty	thirty	1
this	This	1
thousand	thousand	1
