pattern	decision	modification	tinyIds	n_tinyIds	decided_at	run_id	notes
(C2) [Molar ratio] in Dried blood spot	remove		7kxT1g8hXf QJTzoJx8hmG QkHlc1eIhmM X1senyg83Qf mk521g8nmG	5	2026-03-09T22:33:40.556246	run_20260305_165403	
(C8) [Molar ratio] in Dried blood spot	remove		Q1mb2yg8h7M X1wf91e827M Xkbb2yg8hQG XkrM6kl8hQz m1eX2yeInXG	5	2026-03-09T22:33:40.556252	run_20260305_165403	
(DURING THE PAST MONTH)	keep		00bW3SYbdj 4siffFeuG 8fsbGZXAM LrYJZaROQ Os_AKoRnm TPkQzK3HM YxBLn5FhIg _HLvIOIsh9 __HNDvU9S amC6qwn9_d bWTL7g2h9T cDCbua93l d8M0atgf8g e2jkUH_oB m9bE3j6zW myDdohceJ ssHn6S28m xCGaAepbRp	18	2026-03-09T22:33:40.522965	run_20260305_165403	
(If yes, How?)	remove		7J0V29jnie 7Jn439i2oe 7JxeN3cj3og Q1MeE3qjhse myEe42co2je mySlE3qs3jl	6	2026-03-09T22:33:40.549628	run_20260305_165403	
(NOS - TBI) - Left	remove		718cyuZZ2Ol 71HtyObb3ug 7knYyO__ndl 7ywqkuZb3Og QJCFJubWn_x mkLtJO_Z3_l mkkY1uWWnOg mkmt1uWZhdl mky91u_b3Ol	9	2026-03-09T22:33:40.538567	run_20260305_165403	
(NOS - TBI) - Right	remove		7JS9JdZ_2de 7yaYyu_b2de Q1F5JOWW3Ol XJZ5kdW_3_g XyE5ydbW3ul m1dc1u_W2de mJNFkdZZhux mJPxmceolcZ mygqkuZZnug	9	2026-03-09T22:33:40.538574	run_20260305_165403	
(PCB) [Mass/volume] in Serum or Plasma by Confirmatory method	remove		9YyJy93P6u FWtQq3yj0B _EAYbd676 a4ZAIobUHj fgwe4UYZ8 lqMwpGOMfw nEyq0wiFU stvNQQIq0 usqK1jqwPJ	9	2026-03-09T22:33:40.538579	run_20260305_165403	
(PCT) based identification of	remove		8xdM231_6W2 Av6eFQrjASZ ajJ71_ZY1Wt b9aWSq7ABcC e9Zp9bt7VZY v35qq66nt9U	6	2026-03-09T22:33:40.549633	run_20260305_165403	
(forced expiratory volume	remove		3__UIBQd9 WgwjVTqLgZ kuZoaeTzj m8I5ZF_vX4	4	2026-03-09T22:33:40.561353	run_20260305_165403	
(forced vital capacity)	remove		3__UIBQd9 3u6f1MgSH0 H9s_wOPtQv WgwjVTqLgZ dwkg5_vFoF	5	2026-03-09T22:33:40.556258	run_20260305_165403	
(how many of your	remove		Q1jeri5ohog QyIlHi9i3ig QyhgBj5o2og X1Vgroqo3jx	4	2026-03-09T22:33:40.561358	run_20260305_165403	
(in cm) of resection	remove		41igNGV8_ Fick3EjsJ KXSgCYnn_q Nxr_dfUlau OE9dxKOo Sn7Kne0VUrg UzeUDj3q6po	7	2026-03-09T22:33:40.546034	run_20260305_165403	
(in hours) on a	remove		0yQD8KyG2O 45bvTNMkm1 7J_Y0Kt66L 7Jbq0KF6aL 7kMOAYtp6L 7kO0KYa6L QJKAYKaa8 QJluRKK6TU XJZ_CFtT6I mygKRtF6pU	10	2026-03-09T22:33:40.535604	run_20260305_165403	
(in the	remove		BRzPzergc0q XybtYd_b3_l eT7V_ETn_6 ms3VOlqu6 w_BHatIMoA	5	2026-03-09T22:33:40.556263	run_20260305_165403	
(include work at home)	remove		71ZI_y_n1Qg 71rBA_bWnug 7J7Kuy_nyQg 7JML_1O21Qx 7JWVeu1u2J7e 7JvS0_Zbhdx 7k7WbFJOhJ7e 7kRg_tkOnkXl 7kZNty_n1Xx 7yHE_Jd2kQe 7yhC8v_Zhdx 7yi4AuZWnul 9DurwQ8wTR NgAHmLT_x Q19_YJ_2JQx Q1V4F1unkme Q1au0IW_3Ox Q1lRxdkuhJ7l Q1sDtJd2JXx QJz9edkO21mx QkXSR__b3Oe QkaN0_Wbhdg Qks3dkuhJXg Qy7zl_y_nkmx QykDedJO2y7e TTAdlxgx7f X11Ld1_hJQg X14U_y_h17l X183dkdhkXg X18VYyOh1Qe X1uM_yOnkQx XJFSRu_bh_l XJSIuJunymx XfwF96geLC XkNTlukuhk7e XkXCg_1_217g XkftOJO21Qe Xkwzxdku3k7g XyeLO1O3J7e Xys6edkd2JXg _2zOln9Hcf _3qWO0n6cy bdLTl3tzX hDRRN3EIG imS4_VaAwU jHi9o7UNJZ jjPr0FwuJO m1CNRuWZn_x mJ8ZZK1_nJXx mJKfq9TA7m mk340_bZhue mk37FkOn1mx mkC7lO1O21Xl mkI8O1u31Qe myQTeukunkQl myqTeO1dnkQg y3Eycv2b7C	57	2026-03-09T22:33:40.502650	run_20260305_165403	
(including work at home)	remove		NgAHmLT_x XJeXKzdp6I XfwF96geLC jHi9o7UNJZ	4	2026-03-09T22:33:40.561362	run_20260305_165403	
(number) of	remove		AMJ8bln8Z BESbl_Un1 HeY0b_iVk HkbzXOY9D JVNuP60F NI3MExg2 PizCiO8d Tb7bkeVUo UIW7PDHX0 V7jI6yy9S Y_DPABM8 _Rkcrn8f adKR5S0Mh q2CnDvioc xTmA_SmeO yfX1uMHGU	16	2026-03-09T22:33:40.524839	run_20260305_165403	
"(other than the values listed in ""COVID-19 Mitigation Policy"	remove		1Wg_UlrdKm 22F3D7VUwm IRuBbZ_giO e_O4waE1HK hrdVaN7PtK	5	2026-03-09T22:33:40.556269	run_20260305_165403	
(s) of the	remove		1V7UHhUZpAF 1xIgpkzCTw 7vOwos0AskR 7yb8ZKtaT8 AQDucL7WJ G9MhOS68Vgk Hd1pcUFmwuj KqJ8xVzhHBY MEmVbm7CrRh NFE_pfxGh OD3GA4U73Ym T6Z7ok8CjYw WjTBqXQ8OGf X1alIdQcCqQ YXL8_83ulD _UQppExdGq aaWEKVq_j1M c46GVmZ1AAg eef2KRWAdBB mbewuQTjH5W myB4h9snox sh2frCjT6ox suhPkjUX4M7 tQDp0t2hgfr voUuGH4PxAX	25	2026-03-09T22:33:40.517263	run_20260305_165403	
(s) that the	remove		7Jl_R8KTp8 7kWTMocaTI 7yfyTIFap8 FMAQy6RNX7 JRejq2nMYi O4ZFfVLIN_ QkLA8KpTL XkMbbiupTU XyfZRLK6TL myTnUFaa8 oo1cOAVuwr	11	2026-03-09T22:33:40.533145	run_20260305_165403	
(s) used	remove		4q_5jsM7oW 711QPYp6L 7yhkGiT6U BFq5ReHc6o3 CST5cNIWs Qk_iKr9WSL SBXlLF00qE TsQkWoZOtRG X1eaUkYT6U X1enkMjaaL etvrWvmkAe6 fc6xap5MVAA jheGt2rXCBY mJxkOkYTT8 p0YwJKiAvb sYVRRLJYku vDyszc1JuY	17	2026-03-09T22:33:40.523993	run_20260305_165403	
(should be used in combination with	keep		4zvh0_IZ1 JyyRVUTPWJ Q97BG08C SF2XaxTS0J	4	2026-03-09T22:33:40.561387	run_20260305_165403	
(within the last	keep		F2zth6Zkapg Qyt0bs6aU S7UH07r72wW XkFx0D5snox grUzNX2KCjs yTYd56OaHDJ	6	2026-03-09T22:33:40.549639	run_20260305_165403	
1 of the	remove		7Jet9XjTaU 7kY5Qi6TU 7kq9Qo6pL 7ygq5QoTTU Gj27b5o_okd QJZYqmsppL QygbvA79R9m Qyzt5XsapI	8	2026-03-09T22:33:40.542078	run_20260305_165403	
12 months	keep		71NgViqohje 7JBxEoci3oe 7JGeVoqs3jg 7JMEY9j3jx 7Jng5j5ohjg 7k8g4ocjhol 7kGliocsnog 7kdeEs5jhsl 9Ox26CoxLm Dl4TDFP_M DvmsQWnxr H3IxhD9K_P Knm4Kxfg_ Q1QlEj9j2ig QJPgEs9j2ox Qk1x4oqjnil Qkjo5j2je QkjxNs9j2ix X1bxioqonje XPTrGuTxko Xk3gEiqi3ig XkelEs9o3sg XyagVs5s3ol Xyoosqo2ol XyqlVs5inse _i_wy_O_5 bxxYiq30Th cmL8NJbdS cvydH2sSLf dnW8e_Hqs kSlIsPCh6 mJfxQjqihsl mk0xjoqi3jl mk6jj9s3ol mkWg4jcsnie mkmVFqi3jx myYgNscjnil myesj9jnjl n2TfoSbXRo	39	2026-03-09T22:33:40.509397	run_20260305_165403	
18 years of age	remove		7yXdfnUS1D MCQO7tX_5WU ST62StcHRCH XkbMjM3UHJv my_hsIKp6I	5	2026-03-09T22:33:40.556274	run_20260305_165403	
2 years	remove		7JJ_Hm9jBA MUoykWDt8zd OrKNciROi1 PxcdZNBPQ2S QJgeN_qs2jx XkGlV_9j3se XkhMs9ohje XyWxNO5i3se m1Mxzs9ihie mttlp5O12 my7gNd5shix	11	2026-03-09T22:33:40.533288	run_20260305_165403	
26 35 age	modify	26 35 age indicator	0n_XkYNYOp5 1BwgZamVwx5 4AJGEK3tSdP 4LQ754KBnX AADuWyzAuMb B58d0q0_ZcV B5Q6taJcwtb Bv_yOStT9H7 CGu8nsFdGxf CqRHJQ_zzf E6Q_Ds7CnWT EzjUJhTWnAG FFu71HxCS0A FRG0vAgaabU G3aND_1rMg8 LqQXnGp3d M6rFG3J4ZAK NF_SAMAPjh9 O15fYd7KQJA ODOsz0o7ZS PncQHuJ_o8M QDQAO98zuuF U5WhaBjXAK UP60gr68u20 VtjskMGn5t W0F0CLhe0 XcH6Rnvc5sm ZCdjnpBkSps _SZGUtstmJ5 abO08AHSEKV coAUS61_EMy cvq1_ZWHVdz eo9QqwAT172 fw_n5AeUHv2 kY7suvH1Wb4 kyswtYD_f1u mc2k2Yw7f nTXN4_TFP87 o5hX6xHrn88 oRbxxFZYCG_ obUKJ6XGQYA qSbGJz8V5Dk qgTXN4QcCfa ynE9XGy9PPk zYNkY91Tgdx	45	2026-03-09T22:33:40.507335	run_20260305_165403	
26 to 35 (Work)	remove		0n_XkYNYOp5 1BwgZamVwx5 4AJGEK3tSdP A1D1SG4sMag AADuWyzAuMb CGu8nsFdGxf CqRHJQ_zzf FRG0vAgaabU ItTWqyGQEX NF_SAMAPjh9 O15fYd7KQJA ODOsz0o7ZS QDQAO98zuuF U5WhaBjXAK VtjskMGn5t W0F0CLhe0 XcH6Rnvc5sm ZCdjnpBkSps _SZGUtstmJ5 abO08AHSEKV coAUS61_EMy cvq1_ZWHVdz eo9QqwAT172 kyswtYD_f1u mc2k2Yw7f nTXN4_TFP87 obUKJ6XGQYA qSbGJz8V5Dk ynE9XGy9PPk zYNkY91Tgdx	30	2026-03-09T22:33:40.513306	run_20260305_165403	rescued: parent-filtered, parent_count=0, 30 actual tinyIds
