tinyId	domain	domain_full	sub_domain	verbosity	concept_id	expected_cluster	name	noise_tier	instrument	temporal_phrase	anchor_phrase	source_tinyId
synNR01T_t1	neurology	Neurology Assessment	Cerebrovascular	terse	NR01	stroke	Stroke onset time	light		During the past 6 months		synNR01T
synNR01I_t1	neurology	Neurology Assessment	Cerebrovascular	informational	NR01	stroke	Time of acute ischemic stroke symptom onset	light		During the past 6 months		synNR01I
synNR01E_t1	neurology	Neurology Assessment	Cerebrovascular	expansive	NR01	stroke	Time of acute ischemic stroke symptom onset documented for thrombolysis eligibility determination	light		During the past 6 months		synNR01E
synNR02T_t1	neurology	Neurology Assessment	Cerebrovascular	terse	NR02	stroke	NIH Stroke Scale score	light		During the past 6 months		synNR02T
synNR02I_t1	neurology	Neurology Assessment	Cerebrovascular	informational	NR02	stroke	NIH Stroke Scale total score at initial assessment	light		During the past 6 months		synNR02I
synNR02E_t1	neurology	Neurology Assessment	Cerebrovascular	expansive	NR02	stroke	National Institutes of Health Stroke Scale total score at initial emergency department neurological assessment	light		During the past 6 months		synNR02E
synNR03T_t1	neurology	Neurology Assessment	Cerebrovascular	terse	NR03	stroke	Modified Rankin Scale score	light		During the past 6 months		synNR03T
synNR03I_t1	neurology	Neurology Assessment	Cerebrovascular	informational	NR03	stroke	Modified Rankin Scale score at follow-up assessment	light		During the past 6 months		synNR03I
synNR03E_t1	neurology	Neurology Assessment	Cerebrovascular	expansive	NR03	stroke	Modified Rankin Scale disability score assessed at ninety-day follow-up after acute ischemic stroke treatment	light		During the past 6 months		synNR03E
synNR04T_t1	neurology	Neurology Assessment	Cerebrovascular	terse	NR04	xdn:imaging	Brain CT infarct volume	light		During the past 6 months		synNR04T
synNR04I_t1	neurology	Neurology Assessment	Cerebrovascular	informational	NR04	xdn:imaging	Brain CT ischemic infarct volume measurement	light		During the past 6 months		synNR04I
synNR04E_t1	neurology	Neurology Assessment	Cerebrovascular	expansive	NR04	xdn:imaging	Brain computed tomography ischemic infarct volume measured using semi-automated planimetric segmentation	light		During the past 6 months		synNR04E
synNR05T_t1	neurology	Neurology Assessment	Epilepsy	terse	NR05	epilepsy	Seizure frequency	light		During the past 6 months		synNR05T
synNR05I_t1	neurology	Neurology Assessment	Epilepsy	informational	NR05	epilepsy	Monthly seizure frequency count	light		During the past 6 months		synNR05I
synNR05E_t1	neurology	Neurology Assessment	Epilepsy	expansive	NR05	epilepsy	Monthly seizure frequency count from patient seizure diary and caregiver observation log	light		During the past 6 months		synNR05E
synNR06T_t1	neurology	Neurology Assessment	Epilepsy	terse	NR06	epilepsy	Seizure type classification	light		During the past 6 months		synNR06T
synNR06I_t1	neurology	Neurology Assessment	Epilepsy	informational	NR06	epilepsy	Seizure type classified per ILAE 2017 framework	light		During the past 6 months		synNR06I
synNR06E_t1	neurology	Neurology Assessment	Epilepsy	expansive	NR06	epilepsy	Seizure type classified according to the International League Against Epilepsy 2017 operational classification framework	light		During the past 6 months		synNR06E
synNR07T_t1	neurology	Neurology Assessment	Epilepsy	terse	NR07	xdn:medication	Antiepileptic drug name	light		During the past 6 months		synNR07T
synNR07I_t1	neurology	Neurology Assessment	Epilepsy	informational	NR07	xdn:medication	Current antiepileptic drug generic name	light		During the past 6 months		synNR07I
synNR07E_t1	neurology	Neurology Assessment	Epilepsy	expansive	NR07	xdn:medication	Generic name of the primary antiepileptic drug currently prescribed for ongoing seizure management	light		During the past 6 months		synNR07E
synNR08T_t1	neurology	Neurology Assessment	Epilepsy	terse	NR08	epilepsy	EEG finding category	light		During the past 6 months		synNR08T
synNR08I_t1	neurology	Neurology Assessment	Epilepsy	informational	NR08	epilepsy	Primary electroencephalogram finding category	light		During the past 6 months		synNR08I
