pattern	tinyIds	type	source	decision
ESI Heat Exposure	synUHI001,synUHI002,synUHI003,synUHI004,synUHI005,synUHI006,synUHI013,synUHI014,synUHI015	inst_sub	set1a_urban	keep
ESI Water Stress	synSRM001,synSRM002,synSRM003,synSRM004,synSRM005,synSRM006,synSRM013,synSRM014,synSRM015	inst_sub	set1a_urban	keep
ESI Air Contamination	synIAQ001,synIAQ002,synIAQ003,synIAQ004,synIAQ005,synIAQ006,synIAQ013,synIAQ014,synIAQ015	inst_sub	set1a_urban	keep
CRAT Infrastructure Vulnerability	synUHI007,synUHI008,synUHI009,synUHI010,synUHI011,synUHI012	inst_sub	set1a_urban	keep
CRAT Environmental Burden	synSRM007,synSRM008,synSRM009,synSRM010,synSRM011,synSRM012	inst_sub	set1a_urban	keep
CRAT Health Impact	synIAQ007,synIAQ008,synIAQ009,synIAQ010,synIAQ011,synIAQ012	inst_sub	set1a_urban	keep
SSS Pain Interference	synPAN001,synPAN002,synPAN003,synPAN004,synPAN005,synPAN006,synPAN013,synPAN014,synPAN015	inst_sub	set1b_clinical	keep
SSS Cognitive Difficulty	synCOG001,synCOG002,synCOG003,synCOG004,synCOG005,synCOG006,synCOG013,synCOG014,synCOG015	inst_sub	set1b_clinical	keep
SSS Sleep Disturbance	synSLP001,synSLP002,synSLP003,synSLP004,synSLP005,synSLP006,synSLP013,synSLP014,synSLP015	inst_sub	set1b_clinical	keep
FAB Physical Function	synPAN007,synPAN008,synPAN009,synPAN010,synPAN011,synPAN012	inst_sub	set1b_clinical	keep
FAB Daily Living Activities	synCOG007,synCOG008,synCOG009,synCOG010,synCOG011,synCOG012	inst_sub	set1b_clinical	keep
FAB Emotional Well-Being	synSLP007,synSLP008,synSLP009,synSLP010,synSLP011,synSLP012	inst_sub	set1b_clinical	keep
EMP Atmospheric Analysis	synAIR001_t2,synAIR001_t3,synAIR002_t2,synAIR002_t3,synAIR003_t2,synAIR003_t3,synAIR004_t2,synAIR004_t3,synAIR005_t2,synAIR005_t3,synAIR006_t2,synAIR006_t3,synAIR007_t2,synAIR007_t3,synAIR008_t2,synAIR008_t3,synAIR009_t2,synAIR009_t3,synAIR010_t2,synAIR010_t3,synAIR011_t2,synAIR011_t3,synAIR012_t2,synAIR012_t3,synAIR013_t2,synAIR013_t3,synAIR014_t2,synAIR014_t3,synAIR015_t2,synAIR015_t3,synAIR016_t2,synAIR016_t3,synAIR017_t2,synAIR017_t3,synAIR018_t2,synAIR018_t3,synAIR019_t2,synAIR019_t3,synAIR020_t2,synAIR020_t3	inst_sub	set2_noisy	keep
EMP Aquatic Assessment	synWAT001_t2,synWAT001_t3,synWAT002_t2,synWAT002_t3,synWAT003_t2,synWAT003_t3,synWAT004_t2,synWAT004_t3,synWAT005_t2,synWAT005_t3,synWAT006_t2,synWAT006_t3,synWAT007_t2,synWAT007_t3,synWAT008_t2,synWAT008_t3,synWAT009_t2,synWAT009_t3,synWAT010_t2,synWAT010_t3,synWAT011_t2,synWAT011_t3,synWAT012_t2,synWAT012_t3,synWAT013_t2,synWAT013_t3,synWAT014_t2,synWAT014_t3,synWAT015_t2,synWAT015_t3,synWAT016_t2,synWAT016_t3,synWAT017_t2,synWAT017_t3,synWAT018_t2,synWAT018_t3,synWAT019_t2,synWAT019_t3,synWAT020_t2,synWAT020_t3	inst_sub	set2_noisy	keep
EMP Pedological Survey	synSOL001_t2,synSOL001_t3,synSOL002_t2,synSOL002_t3,synSOL003_t2,synSOL003_t3,synSOL004_t2,synSOL004_t3,synSOL005_t2,synSOL005_t3,synSOL006_t2,synSOL006_t3,synSOL007_t2,synSOL007_t3,synSOL008_t2,synSOL008_t3,synSOL009_t2,synSOL009_t3,synSOL010_t2,synSOL010_t3,synSOL011_t2,synSOL011_t3,synSOL012_t2,synSOL012_t3,synSOL013_t2,synSOL013_t3,synSOL014_t2,synSOL014_t3,synSOL015_t2,synSOL015_t3,synSOL016_t2,synSOL016_t3,synSOL017_t2,synSOL017_t3,synSOL018_t2,synSOL018_t3,synSOL019_t2,synSOL019_t3,synSOL020_t2,synSOL020_t3	inst_sub	set2_noisy	keep
